43	0	12	12222119	9	pv-i	"생각,감정이 생기다"				가다	1309	122113351	선의	상냥함	親切さ	이/가	1303	122113331	사랑	애정	愛情	이/가												
44	0	12	12222119	9	pv-i	"생각,감정이 생기다"				가다	1309	122113351	선의	상냥함	親切さ	이/가	1404	12211733	관심	관심	関心	이/가												
45	0	12	12222119	9	pv-i	"생각,감정이 생기다"				가다	1309	122113351	선의	상냥함	親切さ	이/가	1407	12211742	이해	납득	納得	이/가												
46	0	12	12222119	9	pv-i	"생각,감정이 생기다"				가다	1309	122113351	선의	상냥함	親切さ	이/가	1407	12211742	이해	이해	理解	이/가												
47	0	12	12222119	9	pv-i	"생각,감정이 생기다"			できる	가다	1062	12113	언어<추상물(정신)>	말	言葉	이/가	1123	121151	윤리	믿음	信頼	이/가												
48	0	12	12222119	9	pv-i	"생각,감정이 생기다"			できる	가다	1062	12113	언어<추상물(정신)>	말	言葉	이/가	1303	122113331	사랑	애정	愛情	이/가												
49	0	12	12222119	9	pv-i	"생각,감정이 생기다"			できる	가다	1062	12113	언어<추상물(정신)>	말	言葉	이/가	1312	122113361	동정	동정	同情	이/가												
50	0	12	12222119	9	pv-i	"생각,감정이 생기다"			できる	가다	1062	12113	언어<추상물(정신)>	말	言葉	이/가	1329	1221133B2	불신용	의심	疑い	이/가												
51	0	12	12222119	9	pv-i	"생각,감정이 생기다"			できる	가다	1062	12113	언어<추상물(정신)>	말	言葉	이/가	1404	12211733	관심	관심	関心	이/가												
52	0	12	12222119	9	pv-i	"생각,감정이 생기다"			できる	가다	1062	12113	언어<추상물(정신)>	말	言葉	이/가	1407	12211742	이해	납득	納得	이/가												
53	0	12	12222119	9	pv-i	"생각,감정이 생기다"			できる	가다	1062	12113	언어<추상물(정신)>	말	言葉	이/가	1407	12211742	이해	이해	理解	이/가												
54	0	12	12222119	9	pv-i	"생각,감정이 생기다"			できる	가다	1560	12212	행위<인간활동>	행동	行動	이/가	1123	121151	윤리	믿음	信頼	이/가												
55	0	12	12222119	9	pv-i	"생각,감정이 생기다"			できる	가다	1560	12212	행위<인간활동>	행동	行動	이/가	1303	122113331	사랑	애정	愛情	이/가												
56	0	12	12222119	9	pv-i	"생각,감정이 생기다"			できる	가다	1560	12212	행위<인간활동>	행동	行動	이/가	1312	122113361	동정	동정	同情	이/가												
57	0	12	12222119	9	pv-i	"생각,감정이 생기다"			できる	가다	1560	12212	행위<인간활동>	행동	行動	이/가	1329	1221133B2	불신용	의심	疑い	이/가												
58	0	12	12222119	9	pv-i	"생각,감정이 생기다"			できる	가다	1560	12212	행위<인간활동>	행동	行動	이/가	1404	12211733	관심	관심	関心	이/가												
59	0	12	12222119	9	pv-i	"생각,감정이 생기다"			できる	가다	1560	12212	행위<인간활동>	행동	行動	이/가	1407	12211742	이해	납득	納得	이/가												
60	0	12	12222119	9	pv-i	"생각,감정이 생기다"			できる	가다	1560	12212	행위<인간활동>	행동	行動	이/가	1407	12211742	이해	이해	理解	이/가												
61	0	12	12222119	9	pv-i	"생각,감정이 생기다"			できる	가다	1678	12212441	놀이	취미	趣味	이/가	1303	122113331	사랑	애정	愛情	이/가												
62	0	12	12222119	9	pv-i	"생각,감정이 생기다"			できる	가다	1678	12212441	놀이	취미	趣味	이/가	1404	12211733	관심	관심	関心	이/가												
63	0	12	12222119	9	pv-i	"생각,감정이 생기다"			できる	가다	1678	12212441	놀이	취미	趣味	이/가	1407	12211742	이해	이해	理解	이/가												
