#GT	SS	Type	Remarks
#
# Corenet Mappings marked with synonym/hypernym/hyponym
# New additions marked with new.  
#
#2426	13740591-n	synonym
#
# IDs above 3000 only exist in corenet
#
88	09992837-n	synonym
88	10084043-n	hypernym
90	10143299-n	synonym
91	10141732-n	synonym
92	08369220-n	new
92	10006511-n	synonym
92	10373998-n	synonym
93	10595164-n	synonym
94	09876454-n	hypernym
95	09876454-n	hypernym
96	10602985-n	hypernym
97	09876454-n	hypernym
98	10267311-n	synonym
99	10267865-n	synonym
100	10235549-n	synonym
102	09823502-n	hypernym
102	10736091-n	hypernym
103	09823502-n	hypernym
103	10736091-n	hypernym
104	10353355-n	hyponym
104	10357613-n	hyponym
105	10353355-n	synonym
106	10357613-n	synonym
107	09972010-n	synonym
108	09972010-n	hypernym
109	09972010-n	hypernym
110	07969695-n	synonym
110	07970079-n	synonym
110	10235549-n	synonym
115	09816771-n	synonym
115	09935434-n	new
115	09935990-n	synonym
115	09936215-n	synonym
115	09945905-n	synonym
115	10791820-n	synonym
116	08208560-n	new
116	08240169-n	new
116	08464601-n	new
116	09877124-n	synonym
116	10307234-n	new
117	09847727-n	synonym
118	09760609-n	synonym
119	10000787-n	new
119	10307234-n	synonym
119	10522035-n	new
120	10103921-n	synonym
121	05695806-n	hypernym
121	09935434-n	new
121	10379620-n	new
122	09935434-n	new
122	10402417-n	synonym
123	10098710-n	synonym
123	10533013-n	new
125	10112591-n	synonym
126	09763784-n	synonym
127	09622302-n	synonym
127	10682953-n	synonym
128	09622302-n	synonym
129	09622302-n	synonym
130	10150940-n	hyponym
130	10187130-n	hyponym
131	10187130-n	synonym
131	10592152-n	new
132	10187130-n	synonym
133	10187491-n	synonym
134	09984659-n	hyponym
134	10150940-n	synonym
134	10151133-n	hyponym
134	10757193-n	new
135	10757193-n	synonym
136	08401554-n	synonym
136	09984659-n	synonym
136	10407726-n	synonym
138	10016103-n	hyponym
138	10388440-n	hyponym
139	10151570-n	hypernym
139	10298482-n	new
140	10016103-n	synonym
140	10671613-n	new
142	10676018-n	synonym
143	10205231-n	synonym
143	10227266-n	synonym
144	10048218-n	hyponym
144	10227266-n	hyponym
145	10464711-n	new
145	13949576-n	synonym
146	13952386-n	synonym
147	10388440-n	hyponym
147	10582154-n	hyponym
148	10298647-n	synonym
148	10389398-n	synonym
149	10101981-n	synonym
149	10552639-n	synonym
151	08723006-n	new
151	08799271-n	new
151	09641757-n	new
151	09681351-n	new
151	09713764-n	new
151	09718936-n	new
152	07967382-n	synonym
152	08108784-n	new
152	08303692-n	new
152	09698108-n	new
152	09718217-n	new
152	10289039-n	new
153	07967982-n	synonym
154	08166552-n	synonym
154	09625401-n	synonym
154	09923673-n	new
155	09923673-n	hypernym
156	09727440-n	new
156	10103485-n	synonym
158	08179879-n	synonym
158	09620078-n	synonym
158	09923673-n	new
